State,Year,GDP
Illinois,2011,691805500000.0
Illinois,2012,725478000000.0
Illinois,2013,742890900000.0
Illinois,2014,772291700000.0
Illinois,2015,802592000000.0
Illinois,2016,813561600000.0
Illinois,2017,832826800000.0
Illinois,2018,871024200000.0
Illinois,2019,895601800000.0
Illinois,2020,860807800000.0
Illinois,2021,947223900000.0
Illinois,2022,1037735900000.0
Illinois,2023,1100794100000.0
Illinois,2024,1148106100000.0
Indiana,1997,170924600000.0
Indiana,1998,185336300000.0
Indiana,1999,193659900000.0
Indiana,2000,204147300000.0
Indiana,2001,205325100000.0
Indiana,2002,213419600000.0
Indiana,2003,225349300000.0
Indiana,2004,239278500000.0
Indiana,2005,247428300000.0
Indiana,2006,259030300000.0
Indiana,2007,273340800000.0
Indiana,2008,277774500000.0
Indiana,2009,264925000000.0
Indiana,2010,284685800000.0
Indiana,2011,292373800000.0
Indiana,2012,301277400000.0
Indiana,2013,313466900000.0
Indiana,2014,329360900000.0
Indiana,2015,333163800000.0
Indiana,2016,342716600000.0
Indiana,2017,357535800000.0
Indiana,2018,377376900000.0
Indiana,2019,384838700000.0
Indiana,2020,378293000000.0
Indiana,2021,425270900000.0
Indiana,2022,467679600000.0
Indiana,2023,496849500000.0
Indiana,2024,519516500000.0
Iowa,1997,82808800000.0
Iowa,1998,84629700000.0
Iowa,1999,87774300000.0
Iowa,2000,93125600000.0
Iowa,2001,94922600000.0
Iowa,2002,98669400000.0
Iowa,2003,105329700000.0
Iowa,2004,117149800000.0
Iowa,2005,122866100000.0
Iowa,2006,127670800000.0
Iowa,2007,137590200000.0
Iowa,2008,137749200000.0
Iowa,2009,137094299999.99998
Iowa,2010,142497700000.0
Iowa,2011,149026100000.0
Iowa,2012,158553100000.0
Iowa,2013,162415000000.0
Iowa,2014,173734200000.0
Iowa,2015,181471700000.0
Iowa,2016,183834800000.0
Iowa,2017,187125000000.0
Iowa,2018,193155100000.0
Iowa,2019,196262500000.0
Iowa,2020,199449600000.0
Iowa,2021,225055300000.0
Iowa,2022,244156800000.0
Iowa,2023,253166500000.0
Iowa,2024,265794500000.0
Kansas,1997,74643200000.0
Kansas,1998,78242300000.0
Kansas,1999,81609700000.0
Kansas,2000,85990500000.0
Kansas,2001,88869700000.0
Kansas,2002,91359000000.0
Kansas,2003,95236300000.0
Kansas,2004,98913700000.0
Kansas,2005,105343900000.0
Kansas,2006,113831800000.0
Kansas,2007,123608900000.0
Kansas,2008,129223200000.0
Kansas,2009,126049700000.0
Kansas,2010,129235700000.0
Kansas,2011,136747100000.0
Kansas,2012,141812100000.0
Kansas,2013,144999300000.0
Kansas,2014,150276100000.0
Kansas,2015,155699000000.0
Kansas,2016,162144500000.0
Kansas,2017,166273600000.0
Kansas,2018,173373000000.0
Kansas,2019,176068800000.0
Kansas,2020,175385600000.0
Kansas,2021,188993300000.0
Kansas,2022,213368800000.0
Kansas,2023,224851300000.0
Kansas,2024,230522100000.0
Kentucky,1997,104878100000.0
Kentucky,1998,110020100000.0
Kentucky,1999,115592700000.0
Kentucky,2000,114549600000.0
Kentucky,2001,117767900000.0
Kentucky,2002,122731200000.0
Kentucky,2003,128289600000.0
Kentucky,2004,135694500000.0
Kentucky,2005,144914900000.0
Kentucky,2006,153009800000.0
Kentucky,2007,156900000000.0
Kentucky,2008,160700200000.0
Kentucky,2009,157440100000.0
Kentucky,2010,166656300000.0
Kentucky,2011,171238100000.0
Kentucky,2012,178370600000.0
Kentucky,2013,184920600000.0
Kentucky,2014,188326400000.0
Kentucky,2015,194621200000.0
Kentucky,2016,197944800000.0
Kentucky,2017,203564000000.0
Kentucky,2018,210509100000.0
Kentucky,2019,220678800000.0
Kentucky,2020,218948600000.0
Kentucky,2021,238693700000.0
Kentucky,2022,262586599999.99997
Kentucky,2023,283267700000.0
Kentucky,2024,295375300000.0
Louisiana,1997,116423100000.0
Louisiana,1998,120228800000.0
Louisiana,1999,125667300000.0
Louisiana,2000,132375799999.99998
Louisiana,2001,138204300000.0
Louisiana,2002,140082800000.0
Louisiana,2003,155198700000.0
Louisiana,2004,170999600000.0
Louisiana,2005,199314200000.0
Louisiana,2006,207249800000.0
Louisiana,2007,203771300000.0
Louisiana,2008,213803500000.0
Louisiana,2009,206111500000.0
Louisiana,2010,226555600000.0
Louisiana,2011,230518700000.0
Louisiana,2012,235960900000.0
Louisiana,2013,231652700000.0
Louisiana,2014,240965000000.0
Louisiana,2015,234324200000.0
Louisiana,2016,227440300000.0
Louisiana,2017,239830700000.0
Louisiana,2018,256444400000.0
Louisiana,2019,257499000000.0
Louisiana,2020,233652000000.0
Louisiana,2021,273063300000.0
Louisiana,2022,304299300000.0
Louisiana,2023,318044300000.0
Louisiana,2024,329172800000.0
Maine,1997,30574200000.0
Maine,1998,32412800000.0
Maine,1999,34714700000.0
Maine,2000,37222000000.0
Maine,2001,38925700000.0
Maine,2002,40664100000.0
Maine,2003,42493400000.0
Maine,2004,45233100000.0
Maine,2005,47028100000.0
Maine,2006,48889300000.0
Maine,2007,50291300000.0
Maine,2008,51001900000.0
Maine,2009,51451200000.0
Maine,2010,52802500000.0
Maine,2011,53104500000.0
Maine,2012,54018500000.0
Maine,2013,54924800000.0
Maine,2014,56537400000.0
Maine,2015,58755800000.0
Maine,2016,61092200000.0
Maine,2017,63000600000.0
Maine,2018,66216000000.0
Maine,2019,69708700000.0
Maine,2020,72309700000.0
Maine,2021,79407600000.0
Maine,2022,86310600000.0
Maine,2023,93743800000.0
Maine,2024,99174100000.0
Maryland,1997,159167800000.0
Maryland,1998,169360100000.0
Maryland,1999,179779600000.0
Maryland,2000,191430200000.0
Maryland,2001,205276000000.0
Maryland,2002,217001400000.0
Maryland,2003,226803400000.0
Maryland,2004,243449800000.0
Maryland,2005,261795300000.0
Maryland,2006,273791000000.0
Maryland,2007,282618200000.0
Maryland,2008,292908300000.0
Maryland,2009,298282800000.0
Maryland,2010,313930500000.0
Maryland,2011,324920900000.0
Maryland,2012,331869000000.0
Maryland,2013,339895800000.0
Maryland,2014,351743100000.0
Maryland,2015,367314100000.0
Maryland,2016,386496400000.0
Maryland,2017,399714500000.0
Maryland,2018,410771800000.0
Maryland,2019,419391600000.0
Maryland,2020,413804500000.0
Maryland,2021,447714300000.0
Maryland,2022,481861400000.0
Maryland,2023,515035900000.0
Maryland,2024,546028400000.0
Massachusetts,1997,236435600000.0
Massachusetts,1998,247686800000.0
Massachusetts,1999,262868800000.0
Massachusetts,2000,287091400000.0
Massachusetts,2001,294876400000.0
Massachusetts,2002,299915800000.0
Massachusetts,2003,309736100000.0
Massachusetts,2004,324919000000.0
Massachusetts,2005,340637800000.0
Massachusetts,2006,358418300000.0
Massachusetts,2007,377985600000.0
Massachusetts,2008,387923400000.0
Massachusetts,2009,388963900000.0
Massachusetts,2010,409270000000.0
Massachusetts,2011,423684900000.0
Massachusetts,2012,441373900000.0
Massachusetts,2013,452580400000.0
Massachusetts,2014,469824900000.0
Massachusetts,2015,497767000000.0
Massachusetts,2016,514108000000.0
Massachusetts,2017,530129400000.0
Massachusetts,2018,559605000000.0
Massachusetts,2019,588069500000.0
Massachusetts,2020,592855500000.0
Massachusetts,2021,650308800000.0
Massachusetts,2022,696323100000.0
Massachusetts,2023,737867400000.0
Massachusetts,2024,778523400000.0
Michigan,1997,299832700000.0
Michigan,1998,311088200000.0
Michigan,1999,337150200000.0
Michigan,2000,351879500000.0
Michigan,2001,349127500000.0
Michigan,2002,363372100000.0
Michigan,2003,376123800000.0
Michigan,2004,388764600000.0
Michigan,2005,402828800000.0
Michigan,2006,402537300000.0
Michigan,2007,410613000000.0
Michigan,2008,391633600000.0
Michigan,2009,371707000000.0
Michigan,2010,393179600000.0
Michigan,2011,408354100000.0
Michigan,2012,426141100000.0
Michigan,2013,441470800000.0
Michigan,2014,456123500000.0
Michigan,2015,479222700000.0
Michigan,2016,494752500000.0
Michigan,2017,505101500000.0
