state,year,residual
Kentucky,2015,-482.8881367992435
Kentucky,2016,-558.8546915568295
Kentucky,2017,-363.6950990744226
Kentucky,2018,-133.52878120963578
Kentucky,2019,-96.3290181024422
Kentucky,2020,1598.8718350214767
Kentucky,2021,1802.8813762803766
Kentucky,2022,-1323.9394000984466
Kentucky,2023,-2330.831612311027
Kentucky,2024,-2891.922770118268
Louisiana,2008,2803.866566607314
Louisiana,2009,2563.11068234931
Louisiana,2010,1594.3299857605307
Louisiana,2011,765.1782086772146
Louisiana,2012,846.9408183175983
Louisiana,2013,424.3516152632801
Louisiana,2014,409.51148024987197
Louisiana,2015,600.4452256081422
Louisiana,2016,-422.0715424304217
Louisiana,2017,128.67761644520215
Louisiana,2018,1039.8841049347684
Louisiana,2019,916.8982823773331
Louisiana,2020,2004.74786781492
Louisiana,2021,2010.8369328108529
Louisiana,2022,-822.2754911602242
Louisiana,2023,-353.67729185536155
Louisiana,2024,-394.26495071931276
Maine,2008,-1337.1872364516676
Maine,2009,-1207.988472526471
Maine,2010,-922.7362688811991
Maine,2011,-523.4439854458687
Maine,2012,-1451.781439028542
Maine,2013,-2647.6953715786003
Maine,2014,66.8483888241899
Maine,2015,-657.6538384329178
Maine,2016,-1079.4742514728423
Maine,2017,-1228.9699350170195
Maine,2018,-1399.5648642717133
Maine,2019,-33.51715075201355
Maine,2020,149.0748681788391
Maine,2021,294.05141836896655
Maine,2022,-4286.357834386363
Maine,2023,-3654.58731851216
Maine,2024,-3570.1812485848495
Maryland,2008,461.51538614313176
Maryland,2009,-379.7763522838359
Maryland,2010,196.21110529868747
Maryland,2011,-514.6153972805187
Maryland,2012,-256.58849575102795
Maryland,2013,-1708.2908494542353
Maryland,2014,-1612.0914496859477
Maryland,2015,-910.7922591987881
Maryland,2016,-444.97012029905454
Maryland,2017,-485.8764191194641
Maryland,2018,-752.822434391026
Maryland,2019,-237.62267128383974
Maryland,2020,-406.32938866651966
Maryland,2021,-1215.5320620975544
Maryland,2022,-3873.5178846549825
Maryland,2023,-4725.210424595105
Maryland,2024,-5615.605499907877
Massachusetts,2008,3061.351339146524
Massachusetts,2009,3133.3376158775936
Massachusetts,2010,3523.1864746373685
Massachusetts,2011,3149.3665157710784
Massachusetts,2012,2946.7647702992836
